employee_id,branch_id,employee_first_name,employee_last_name,designation,email,phone_no,department_id
17001,16001,Markus,Brown,Doctor,markus.br@srk.org,(857)324-6758,101
17002,16001,Ella,Grey,Doctor,ella.gr@srk.org,(857)234-3554,102
17003,16001,Kalyan,Chakri,Doctor,kalyan.ch@srk.org,(617)342-2342,103
17004,16001,James,Smith,Doctor,james.sm@srk.org,(857)212-1233,104
17005,16001,Kathy,Brook,Doctor,kathy.br.@srk.org,(617)231-2340,105
17006,16001,Nick,Hamilton,Nurse,nick.ha@srk.org,(617)678-9067,106
17007,16001,Emma,Laurens,Nurse,emma.la@srk.org,(617)905-9009,106
17008,16002,Marie,Jen,Doctor,marie.je@srk.org,(857)689-6009,101
17009,16002,Anthony,Williams,Doctor,anthony.wi@srk.org,(617)234-3432,102
17010,16002,Annie,Jones,Doctor,annie.jo@srk.org,(617)546-8880,103
17011,16002,Parth,Setty,Doctor,parth.se@srk.org,(857)345-4565,104
17012,16002,Bai,Chang,Doctor,bai.ch@srk.org,(857)003-2003,105
17013,16002,Benjamin,Miller,Nurse,benjamin.mi@srk.org,(857)345-6738,106
17014,16002,Andrew,Wong,Doctor,andrew.wo@srk.org,(617)809-9001,107
17015,16001,Tom,Harris,Doctor,tom.ha@srk.org,(617)386-5637,107
17016,16001,Jim,Brake,Doctor,jim.br@srk.org,(857)560-5600,107
17017,16002,Elis,Watt,Doctor,elis.wa@srk.org,(617)745-6786,107
17018,16001,Tommy,Callous,Doctor,tommy.ca@srk.org,(857)567-3453,101
17019,16002,Amy,White,Doctor,amy.wh@srk.org,(617)984-9450,101
17020,16001,David,Scott,Doctor,david.sc@srk.org,(857)345-5676,102
17021,16002,Adam,Wright,Doctor,adam.wr@srk.org,(617)376-5644,102
17022,16001,Angela,Carter,Doctor,angela.ca@srk.org,(345)234-2341,103
17023,16002,Peter,Hall,Doctor,peter.ha@srk.org,(458)764-9475,103
17024,16001,Sammy,Yang,Doctor,sammy.ya@srk.org,(657)456-6867,104
17025,16002,Grace,Hill,Doctor,grace.hi@srk.org,(345)986-8754,104
17026,16001,Jill,Rivera,Doctor,jill.ri@srk.org,(345)546-5465,105
17027,16002,Abraham,Sunny,Doctor,abraham.su@srk.org,(678)234-3456,105
17028,16001,Ram,Tagore,Doctor,ram.ta@srk.org,(857)546-9379,106
17029,16002,Sunil,Chaitya,Doctor,sunil.ch@srk.org,(617)368-3947,106
17030,16001,Hae,Soo,Doctor,hae.so@srk.org,(857)239-9083,107
17031,16002,Li,Chang,Doctor,li.ch@srk.org,(617)247-0909,107
17032,16001,Lucas,Wells,Doctor,lucas.we@srk.org,(857)123-9876,101
17033,16002,Hannah,Baker,Doctor,hannah.ba@srk.org,(617)234-8798,102
17034,16001,Sophia,Cole,Doctor,sophia.co@srk.org,(857)876-5642,103
17035,16002,Oliver,King,Doctor,oliver.ki@srk.org,(617)567-3456,104
17036,16001,Mason,Ward,Doctor,mason.wa@srk.org,(857)908-2364,105
17037,16002,Evelyn,Gomez,Nurse,evelyn.go@srk.org,(617)278-3956,106
17038,16001,Scarlett,Nixon,Nurse,scarlett.ni@srk.org,(857)472-1298,106
17039,16002,Ava,Griffin,Doctor,ava.gr@srk.org,(617)904-9823,101
17040,16001,Mia,Harvey,Doctor,mia.ha@srk.org,(857)375-4376,102
17041,16002,Liam,Butler,Doctor,liam.bu@srk.org,(617)628-9950,103
17042,16001,Noah,Holmes,Doctor,noah.ho@srk.org,(857)497-8732,104
17043,16002,Avery,Woods,Doctor,avery.wo@srk.org,(617)111-2223,105
17044,16001,Olivia,Bennett,Nurse,olivia.be@srk.org,(857)234-0987,106
17045,16002,Isabella,Knight,Doctor,isabella.kn@srk.org,(617)987-6543,107
17046,16001,Charlotte,Mills,Doctor,charlotte.mi@srk.org,(857)854-3214,107
17047,16002,Amelia,Simpson,Doctor,amelia.si@srk.org,(617)444-5555,107
17048,16001,Harper,Palmer,Doctor,harper.pa@srk.org,(857)666-7777,101
17049,16002,Luna,Hayes,Doctor,luna.ha@srk.org,(617)888-9999,101
17050,16001,Ella,Ellis,Doctor,ella.el@srk.org,(857)123-4567,102
17051,16002,Emily,Wheeler,Doctor,emily.wh@srk.org,(617)234-5678,102
17052,16001,Zoe,Hart,Doctor,zoe.ha@srk.org,(857)345-6789,103
17053,16002,Nora,Dawson,Doctor,nora.da@srk.org,(617)456-7890,103
17054,16001,Leah,Fisher,Doctor,leah.fi@srk.org,(857)567-8901,104
17055,16002,Lily,Gardner,Doctor,lily.ga@srk.org,(617)678-9012,104
17056,16001,Stella,Booth,Doctor,stella.bo@srk.org,(857)789-0123,105
17057,16002,Hazel,Greene,Doctor,hazel.gr@srk.org,(617)890-1234,105
17058,16001,Violet,Harper,Doctor,violet.ha@srk.org,(857)901-2345,106
17059,16002,Aurora,Ingram,Doctor,aurora.in@srk.org,(617)012-3456,106
17060,16001,Sadie,Jacobs,Doctor,sadie.ja@srk.org,(857)321-6543,107
17061,16002,Penelope,Klein,Doctor,penelope.kl@srk.org,(617)987-6543,107
